purchase_id,user_id,skin_name,rarity,price_vp,region,payment_method,purchase_date
41,581695,Prelude to Chaos Vandal,Deluxe,1275,LAN,PayPal,2026-02-14 01:00:41
42,695740,Prelude to Chaos Vandal,Select,875,NA,Valorant Points Card,2026-05-01 20:00:47
43,271701,Prime Phantom,Deluxe,1275,LAS,Credit Card,2026-04-01 18:50:57
44,886940,Oni Katana,Select,875,NA,PayPal,2026-01-21 11:46:57
45,188280,Glitchpop Phantom,Ultra,4350,NA,Valorant Points Card,2026-02-24 04:37:27
46,496184,Elderflame Operator,Premium,1775,BR,Credit Card,2026-02-21 02:30:24
47,920057,Prime Phantom,Select,875,LAN,Valorant Points Card,2026-01-22 02:11:36
48,808552,Prelude to Chaos Vandal,Select,875,LAS,Valorant Points Card,2026-04-05 01:12:33
49,118859,Reaver Vandal,Deluxe,1275,LAN,Valorant Points Card,2026-01-25 11:19:08
50,841017,Elderflame Operator,Deluxe,1275,AP,Valorant Points Card,2026-04-14 01:54:39
51,577814,Glitchpop Phantom,Deluxe,1275,LAS,Credit Card,2026-01-24 00:36:58
52,217971,Prelude to Chaos Vandal,Ultra,2475,LAS,PayPal,2026-02-07 01:57:14
53,568995,Reaver Vandal,Premium,1775,AP,Credit Card,2026-04-27 16:15:21
54,900334,Reaver Vandal,Deluxe,1275,EU,Valorant Points Card,2026-03-15 07:21:21
55,501908,Elderflame Operator,Deluxe,1275,BR,Valorant Points Card,2026-02-27 02:08:52
56,906392,Prelude to Chaos Vandal,Select,875,EU,Credit Card,2026-04-07 11:59:40
57,981459,Oni Katana,Ultra,4350,EU,PayPal,2026-02-22 21:22:12
58,359457,Prelude to Chaos Vandal,Deluxe,1275,NA,Valorant Points Card,2026-04-19 19:20:34
59,598198,Reaver Vandal,Premium,1775,LAS,PayPal,2026-02-20 14:51:32
60,722427,Elderflame Operator,Deluxe,1275,BR,Credit Card,2026-05-07 14:34:42
61,686145,Prime Phantom,Select,875,EU,PayPal,2026-01-19 12:12:19
62,924329,RGX Blade,Select,875,LAS,Credit Card,2026-02-21 18:28:23
63,744967,Oni Katana,Deluxe,1275,NA,Credit Card,2026-05-05 00:45:30
64,941505,Glitchpop Phantom,Deluxe,1275,EU,Valorant Points Card,2026-02-08 03:06:50
65,416334,Prelude to Chaos Vandal,Deluxe,1275,BR,Credit Card,2026-03-28 05:16:42
66,244339,Ion Sheriff,Premium,1775,LAS,PayPal,2026-04-03 05:49:51
67,586010,Ion Sheriff,Premium,1775,BR,Valorant Points Card,2026-02-12 21:32:30
68,906227,Ion Sheriff,Premium,1775,NA,Credit Card,2026-02-04 01:08:47
69,558428,Reaver Vandal,Deluxe,1275,LAN,Credit Card,2026-02-10 11:20:40
70,284975,Reaver Vandal,Deluxe,1275,AP,Valorant Points Card,2026-04-01 06:57:25
71,323071,Ion Sheriff,Ultra,4350,NA,PayPal,2026-02-02 18:29:35
72,615845,Elderflame Operator,Premium,1775,LAN,Valorant Points Card,2026-01-07 10:37:26
73,138392,Elderflame Operator,Deluxe,1275,BR,Valorant Points Card,2026-02-11 07:30:10
74,812231,RGX Blade,Ultra,4350,LAN,Valorant Points Card,2026-04-02 02:15:08
75,186365,Glitchpop Phantom,Deluxe,1275,LAN,PayPal,2026-05-06 04:08:27
76,666243,Ion Sheriff,Premium,1775,LAS,PayPal,2026-01-01 21:48:42
77,182349,Ion Sheriff,Select,875,BR,Valorant Points Card,2026-01-17 02:24:19
78,207817,Reaver Vandal,Premium,1775,BR,Valorant Points Card,2026-01-09 17:34:21
79,889805,Ion Sheriff,Select,875,NA,PayPal,2026-03-22 22:56:22
80,146235,RGX Blade,Select,875,EU,Valorant Points Card,2026-01-21 14:03:37
81,259050,Prime Phantom,Ultra,4350,BR,Credit Card,2026-03-13 05:17:33
82,703740,Prelude to Chaos Vandal,Premium,1775,AP,PayPal,2026-03-09 01:41:19
83,773339,Prelude to Chaos Vandal,Select,875,BR,PayPal,2026-02-24 12:01:45
84,632590,Prime Phantom,Select,875,LAS,PayPal,2026-02-26 07:05:28
85,255855,Prelude to Chaos Vandal,Select,875,EU,PayPal,2026-01-20 12:32:34
86,435309,RGX Blade,Premium,1775,EU,PayPal,2026-04-28 22:29:39
87,813664,Prime Phantom,Premium,1775,LAS,Valorant Points Card,2026-04-07 16:07:01
88,568392,RGX Blade,Deluxe,1275,LAN,Valorant Points Card,2026-03-31 23:36:56
89,318632,Glitchpop Phantom,Deluxe,1275,BR,PayPal,2026-03-02 18:18:11
90,982860,Oni Katana,Select,875,BR,Valorant Points Card,2026-04-23 01:40:14
91,590536,Reaver Vandal,Deluxe,1275,BR,PayPal,2026-02-02 00:34:49
92,418614,Glitchpop Phantom,Deluxe,1275,BR,Credit Card,2026-02-07 08:16:21
93,885019,Prelude to Chaos Vandal,Select,875,LAS,Valorant Points Card,2026-03-25 21:15:00
94,394567,Prelude to Chaos Vandal,Ultra,2475,NA,Valorant Points Card,2026-04-29 13:06:44
95,324140,Elderflame Operator,Select,875,EU,Credit Card,2026-02-16 05:42:40
96,509204,Oni Katana,Ultra,2475,AP,Valorant Points Card,2026-02-27 07:37:06
97,164024,Prime Phantom,Premium,1775,BR,Valorant Points Card,2026-04-16 23:26:20
98,753064,Oni Katana,Select,875,EU,Valorant Points Card,2026-02-16 07:59:26
99,798126,Reaver Vandal,Deluxe,1275,LAN,Credit Card,2026-05-03 04:59:40
100,362479,Elderflame Operator,Select,875,LAN,Valorant Points Card,2026-01-08 05:51:27
101,351395,Reaver Vandal,Select,875,NA,PayPal,2026-04-05 01:24:40
102,139243,Prelude to Chaos Vandal,Premium,1775,LAN,Credit Card,2026-04-26 00:26:12
103,205161,RGX Blade,Select,875,LAS,Credit Card,2026-01-02 02:56:10
104,484857,Ion Sheriff,Deluxe,1275,NA,Credit Card,2026-04-04 21:02:41
105,235013,RGX Blade,Select,875,BR,Valorant Points Card,2026-04-06 10:40:07
106,488875,Prime Phantom,Premium,1775,LAS,PayPal,2026-01-31 06:38:14
107,783495,Ion Sheriff,Ultra,2475,LAN,PayPal,2026-01-17 16:24:16
108,293070,Ion Sheriff,Select,875,LAN,Valorant Points Card,2026-03-31 02:03:46
109,923538,Prime Phantom,Ultra,2475,LAS,PayPal,2026-04-22 23:51:54
110,626529,Prelude to Chaos Vandal,Deluxe,1275,NA,Valorant Points Card,2026-02-02 22:21:05
111,772250,Prime Phantom,Deluxe,1275,LAS,Valorant Points Card,2026-04-29 22:26:06
112,612411,Glitchpop Phantom,Select,875,AP,Credit Card,2026-03-06 16:48:19
113,820258,Elderflame Operator,Select,875,EU,Credit Card,2026-03-07 06:38:12
114,817212,Elderflame Operator,Select,875,EU,Valorant Points Card,2026-04-17 18:31:25
115,663756,Prime Phantom,Select,875,LAN,Valorant Points Card,2026-05-01 00:54:00
116,980562,Glitchpop Phantom,Select,875,EU,Valorant Points Card,2026-01-07 00:25:14
117,473064,Reaver Vandal,Deluxe,1275,NA,Valorant Points Card,2026-01-03 13:09:37
118,955787,Prime Phantom,Premium,1775,LAS,PayPal,2026-04-28 12:08:38
119,433943,Oni Katana,Select,875,LAN,Credit Card,2026-04-06 12:50:56
120,674763,RGX Blade,Premium,1775,LAS,Valorant Points Card,2026-01-13 15:15:09
121,421216,Glitchpop Phantom,Deluxe,1275,LAS,PayPal,2026-01-21 01:19:59
122,707053,Prelude to Chaos Vandal,Deluxe,1275,EU,Credit Card,2026-03-10 14:20:56
123,733499,Prelude to Chaos Vandal,Premium,1775,AP,PayPal,2026-01-26 03:36:39
124,204990,Prime Phantom,Ultra,4350,BR,Valorant Points Card,2026-01-08 02:44:44
125,790505,Glitchpop Phantom,Select,875,NA,PayPal,2026-01-02 18:50:37
126,243838,Glitchpop Phantom,Select,875,LAS,Credit Card,2026-03-22 17:12:53
127,373525,Reaver Vandal,Ultra,4350,LAS,Credit Card,2026-03-20 20:27:48
128,449523,RGX Blade,Select,875,NA,Credit Card,2026-02-20 14:10:25
129,284746,Oni Katana,Select,875,LAS,Valorant Points Card,2026-03-09 19:34:18
130,279482,RGX Blade,Premium,1775,LAS,PayPal,2026-02-06 13:23:34
131,168360,Oni Katana,Select,875,BR,Valorant Points Card,2026-04-07 07:56:52
132,680871,Prime Phantom,Select,875,LAN,PayPal,2026-04-03 01:08:50
133,780877,Prime Phantom,Premium,1775,LAS,Valorant Points Card,2026-02-27 09:00:42
134,394821,Glitchpop Phantom,Premium,1775,LAN,Credit Card,2026-01-16 19:08:30
135,675137,Reaver Vandal,Select,875,EU,Credit Card,2026-05-06 01:03:01
136,553078,Reaver Vandal,Select,875,LAS,PayPal,2026-01-06 13:12:53
137,103536,Oni Katana,Select,875,LAS,Valorant Points Card,2026-03-14 01:30:13
138,107673,Ion Sheriff,Deluxe,1275,AP,PayPal,2026-01-05 18:10:04
139,841749,Reaver Vandal,Deluxe,1275,AP,PayPal,2026-03-31 14:13:51
140,486529,Ion Sheriff,Select,875,LAS,Valorant Points Card,2026-04-23 14:44:02
141,430793,RGX Blade,Select,875,LAS,Valorant Points Card,2026-01-20 17:58:03
142,481422,Reaver Vandal,Select,875,NA,PayPal,2026-04-27 02:27:38
143,386065,RGX Blade,Premium,1775,EU,Valorant Points Card,2026-01-12 08:34:33
144,158415,Glitchpop Phantom,Select,875,LAS,PayPal,2026-01-14 22:24:39
145,786639,Oni Katana,Ultra,4350,EU,Valorant Points Card,2026-01-31 03:48:50
146,810115,Oni Katana,Select,875,AP,Credit Card,2026-01-25 07:28:47
147,470008,Elderflame Operator,Select,875,LAN,Credit Card,2026-04-20 04:35:09
148,793185,Ion Sheriff,Select,875,NA,Credit Card,2026-02-08 07:43:00
149,301417,Oni Katana,Ultra,4350,LAN,PayPal,2026-04-15 02:54:56
150,797153,Reaver Vandal,Select,875,LAN,Credit Card,2026-03-20 06:38:18
151,751374,Elderflame Operator,Ultra,2475,EU,PayPal,2026-04-15 01:12:59
152,338109,Ion Sheriff,Premium,1775,NA,Credit Card,2026-01-12 10:52:52
153,919388,RGX Blade,Select,875,NA,PayPal,2026-01-12 11:46:18
154,995244,Reaver Vandal,Deluxe,1275,LAS,Credit Card,2026-04-10 11:17:25
155,806032,Reaver Vandal,Premium,1775,NA,Valorant Points Card,2026-04-10 11:23:26
156,574871,Prime Phantom,Select,875,BR,Valorant Points Card,2026-04-09 04:46:44
157,858146,Prime Phantom,Select,875,LAN,PayPal,2026-04-06 14:51:07
158,225652,Ion Sheriff,Ultra,4350,AP,Credit Card,2026-03-08 21:47:04
159,426308,Prime Phantom,Deluxe,1275,LAS,PayPal,2026-01-16 11:55:00
160,933627,RGX Blade,Deluxe,1275,NA,Credit Card,2026-02-19 11:06:14
161,983100,Prelude to Chaos Vandal,Deluxe,1275,LAN,Valorant Points Card,2026-05-01 19:04:27
162,941420,Reaver Vandal,Deluxe,1275,BR,PayPal,2026-03-05 07:34:58
163,470026,Ion Sheriff,Deluxe,1275,LAS,Credit Card,2026-01-08 08:29:45
164,813211,Prelude to Chaos Vandal,Premium,1775,BR,Valorant Points Card,2026-01-03 09:23:09
165,353034,Ion Sheriff,Deluxe,1275,BR,PayPal,2026-03-20 07:44:56
166,284214,Ion Sheriff,Deluxe,1275,AP,Valorant Points Card,2026-01-18 22:31:31
167,921854,RGX Blade,Select,875,LAN,PayPal,2026-04-23 23:46:37
168,909776,Glitchpop Phantom,Deluxe,1275,EU,Valorant Points Card,2026-01-19 14:35:50
169,913168,Prime Phantom,Deluxe,1275,LAS,Credit Card,2026-04-24 15:46:29
170,460063,Prelude to Chaos Vandal,Deluxe,1275,AP,Credit Card,2026-01-31 04:23:57
171,974717,Ion Sheriff,Select,875,NA,Valorant Points Card,2026-03-08 14:29:26
172,180816,RGX Blade,Select,875,LAS,PayPal,2026-02-07 05:51:59
173,363654,Prelude to Chaos Vandal,Premium,1775,AP,Credit Card,2026-03-01 06:15:27
174,584562,Ion Sheriff,Deluxe,1275,LAS,Credit Card,2026-03-05 15:17:35
175,211261,Oni Katana,Deluxe,1275,LAN,PayPal,2026-03-01 15:43:13
176,660143,Oni Katana,Deluxe,1275,BR,Valorant Points Card,2026-03-20 12:14:38
177,728220,RGX Blade,Select,875,LAS,PayPal,2026-01-14 14:41:00
178,568507,Glitchpop Phantom,Select,875,LAS,Valorant Points Card,2026-05-02 17:42:32
179,658638,Oni Katana,Premium,1775,AP,Valorant Points Card,2026-04-27 18:22:07
180,529311,Elderflame Operator,Ultra,4350,EU,PayPal,2026-04-26 13:28:13
181,449990,Reaver Vandal,Deluxe,1275,LAS,PayPal,2026-04-29 09:08:36
182,766086,Prelude to Chaos Vandal,Deluxe,1275,LAN,Valorant Points Card,2026-04-02 17:56:26
183,969179,Prelude to Chaos Vandal,Premium,1775,AP,Credit Card,2026-03-24 21:15:55
184,943299,Glitchpop Phantom,Deluxe,1275,NA,Credit Card,2026-02-21 20:14:23
185,310052,Ion Sheriff,Ultra,4350,LAN,Credit Card,2026-03-10 23:52:00
186,865565,Elderflame Operator,Premium,1775,AP,Valorant Points Card,2026-04-05 04:23:01
187,817820,Ion Sheriff,Deluxe,1275,LAS,PayPal,2026-03-30 14:42:06
188,101118,Prelude to Chaos Vandal,Select,875,LAN,Valorant Points Card,2026-01-12 04:07:27
189,208700,Prime Phantom,Ultra,4350,NA,Valorant Points Card,2026-04-18 16:42:39
190,895632,Prime Phantom,Select,875,NA,PayPal,2026-02-23 09:45:27
191,557314,RGX Blade,Ultra,2475,NA,Credit Card,2026-03-04 09:02:40
192,214757,Prelude to Chaos Vandal,Ultra,2475,LAN,PayPal,2026-03-17 06:40:38
193,829519,Reaver Vandal,Deluxe,1275,EU,Valorant Points Card,2026-01-24 19:41:27
194,531595,Glitchpop Phantom,Deluxe,1275,EU,PayPal,2026-04-19 22:29:51
195,948165,Ion Sheriff,Select,875,EU,PayPal,2026-05-08 15:32:00
196,608440,Prime Phantom,Ultra,2475,NA,Valorant Points Card,2026-01-01 10:35:43
197,393442,Reaver Vandal,Select,875,BR,Credit Card,2026-02-08 05:10:08
198,373713,RGX Blade,Select,875,EU,PayPal,2026-01-22 16:53:20
199,705053,Ion Sheriff,Ultra,2475,BR,PayPal,2026-03-19 20:02:27
200,988287,Glitchpop Phantom,Ultra,2475,BR,PayPal,2026-03-03 05:44:27
201,684492,Oni Katana,Select,875,EU,Valorant Points Card,2026-04-27 12:22:21
202,430914,Glitchpop Phantom,Select,875,AP,Credit Card,2026-01-29 01:03:35
203,384460,Prelude to Chaos Vandal,Select,875,AP,PayPal,2026-01-03 09:10:56
204,541469,Oni Katana,Deluxe,1275,EU,PayPal,2026-03-11 06:41:45
205,874354,Prime Phantom,Select,875,LAN,Valorant Points Card,2026-01-10 23:21:14
206,613740,Glitchpop Phantom,Deluxe,1275,LAS,PayPal,2026-01-13 13:20:04
207,948140,Elderflame Operator,Ultra,4350,AP,Credit Card,2026-01-04 22:24:07
208,464330,Glitchpop Phantom,Ultra,2475,EU,PayPal,2026-01-31 18:29:01
209,518094,Prelude to Chaos Vandal,Ultra,2475,BR,Credit Card,2026-01-27 15:47:50
210,812121,Glitchpop Phantom,Deluxe,1275,BR,Valorant Points Card,2026-01-19 02:00:55
211,885787,Reaver Vandal,Select,875,EU,Valorant Points Card,2026-03-27 04:45:53
212,683437,Glitchpop Phantom,Select,875,BR,Credit Card,2026-02-26 13:20:11
213,194813,Prelude to Chaos Vandal,Select,875,NA,Credit Card,2026-03-02 19:19:38
214,466058,Reaver Vandal,Ultra,2475,LAN,Credit Card,2026-02-28 10:10:18
215,436102,Prelude to Chaos Vandal,Premium,1775,EU,Credit Card,2026-04-24 19:01:06
216,281969,Glitchpop Phantom,Select,875,EU,PayPal,2026-04-30 11:45:41
217,265411,Prime Phantom,Premium,1775,AP,PayPal,2026-03-30 18:17:07
218,419498,Prelude to Chaos Vandal,Ultra,4350,LAN,Valorant Points Card,2026-03-23 15:16:26
219,948355,Prelude to Chaos Vandal,Deluxe,1275,AP,Credit Card,2026-04-12 20:30:13
220,614376,Prime Phantom,Deluxe,1275,BR,Valorant Points Card,2026-03-27 14:52:51
221,818127,Glitchpop Phantom,Premium,1775,LAS,PayPal,2026-04-08 12:29:10
222,410023,Ion Sheriff,Premium,1775,LAS,PayPal,2026-02-15 03:59:05
223,720267,Ion Sheriff,Premium,1775,AP,Credit Card,2026-03-03 13:42:45
224,169546,Prime Phantom,Premium,1775,AP,Credit Card,2026-03-23 03:21:15
225,848926,RGX Blade,Select,875,AP,Valorant Points Card,2026-02-07 11:03:37
226,999673,Oni Katana,Select,875,NA,Credit Card,2026-03-23 17:46:51
227,620424,Ion Sheriff,Premium,1775,NA,Credit Card,2026-01-25 16:29:46
228,378615,Ion Sheriff,Select,875,BR,Credit Card,2026-03-10 07:13:20
229,536510,Elderflame Operator,Deluxe,1275,LAS,PayPal,2026-01-31 03:40:12
230,128285,Oni Katana,Select,875,BR,PayPal,2026-02-13 06:04:48
231,166485,Prime Phantom,Select,875,EU,Credit Card,2026-04-12 07:42:26
232,262944,Prime Phantom,Premium,1775,EU,Credit Card,2026-03-29 11:13:23
233,515803,RGX Blade,Select,875,NA,Valorant Points Card,2026-01-04 09:41:38
234,712648,Reaver Vandal,Select,875,EU,Valorant Points Card,2026-02-01 00:39:09
235,591707,RGX Blade,Ultra,4350,AP,Credit Card,2026-04-13 13:54:23
236,280404,Elderflame Operator,Premium,1775,EU,Credit Card,2026-01-15 09:41:04
237,925480,Ion Sheriff,Deluxe,1275,NA,Valorant Points Card,2026-02-18 21:39:48
238,617597,Prelude to Chaos Vandal,Select,875,LAN,Credit Card,2026-01-29 14:01:21
239,939905,Glitchpop Phantom,Deluxe,1275,AP,PayPal,2026-03-15 05:57:25
240,809530,Elderflame Operator,Deluxe,1275,LAS,Credit Card,2026-02-05 19:45:17
241,483779,RGX Blade,Select,875,AP,Valorant Points Card,2026-03-05 05:21:40
242,881748,Ion Sheriff,Ultra,2475,EU,Credit Card,2026-02-25 12:14:05
243,320667,Elderflame Operator,Select,875,BR,Credit Card,2026-03-09 03:10:53
244,750831,Glitchpop Phantom,Select,875,EU,Valorant Points Card,2026-03-22 00:56:36
245,956463,Ion Sheriff,Select,875,NA,Credit Card,2026-03-13 01:52:25
246,630775,Prelude to Chaos Vandal,Select,875,EU,PayPal,2026-05-02 19:10:11
247,795579,Reaver Vandal,Premium,1775,BR,Credit Card,2026-05-08 20:43:03
248,882727,Oni Katana,Premium,1775,AP,Credit Card,2026-04-20 05:42:08
249,912613,Reaver Vandal,Deluxe,1275,EU,PayPal,2026-03-05 09:33:11
250,807876,Prelude to Chaos Vandal,Select,875,LAN,Valorant Points Card,2026-03-14 23:40:05
251,132854,Prelude to Chaos Vandal,Ultra,4350,LAS,Credit Card,2026-02-13 21:27:17
252,854988,Ion Sheriff,Select,875,AP,Credit Card,2026-05-02 13:35:11
253,512223,Oni Katana,Deluxe,1275,LAN,PayPal,2026-04-30 21:31:44
254,953980,Prime Phantom,Premium,1775,BR,Valorant Points Card,2026-03-25 00:03:49
255,439743,Prelude to Chaos Vandal,Select,875,AP,PayPal,2026-01-23 00:25:18
256,858839,Prime Phantom,Select,875,BR,Valorant Points Card,2026-03-25 00:12:20
257,661601,Elderflame Operator,Deluxe,1275,AP,Credit Card,2026-04-29 10:24:36
258,856750,Prelude to Chaos Vandal,Select,875,AP,Credit Card,2026-03-26 10:58:17
259,871367,Oni Katana,Deluxe,1275,AP,PayPal,2026-03-09 12:28:34
260,598373,Oni Katana,Select,875,LAS,Credit Card,2026-05-01 17:25:21
261,131069,Elderflame Operator,Select,875,AP,Valorant Points Card,2026-03-29 21:19:17
262,673489,Elderflame Operator,Select,875,NA,PayPal,2026-03-18 20:02:12
263,655370,Prelude to Chaos Vandal,Ultra,2475,EU,Credit Card,2026-02-11 18:27:07
264,614028,Prelude to Chaos Vandal,Select,875,LAN,PayPal,2026-01-10 23:19:48
265,840928,RGX Blade,Deluxe,1275,NA,Valorant Points Card,2026-04-21 16:36:26
266,299332,Elderflame Operator,Select,875,LAN,Credit Card,2026-02-10 06:42:23
267,468307,Oni Katana,Deluxe,1275,NA,Credit Card,2026-05-06 19:37:58
268,236329,Ion Sheriff,Select,875,NA,Valorant Points Card,2026-02-21 08:22:45
269,508913,Reaver Vandal,Select,875,LAN,PayPal,2026-03-14 11:49:00
270,572983,Ion Sheriff,Select,875,AP,Valorant Points Card,2026-04-14 16:09:06
271,360644,Reaver Vandal,Select,875,LAN,Valorant Points Card,2026-04-05 08:14:57
272,666964,Prelude to Chaos Vandal,Select,875,AP,Credit Card,2026-03-07 10:08:05
273,175859,Prime Phantom,Deluxe,1275,EU,PayPal,2026-01-24 23:44:04
274,430925,Ion Sheriff,Deluxe,1275,AP,Valorant Points Card,2026-01-03 08:50:53
275,174522,Elderflame Operator,Ultra,4350,AP,Valorant Points Card,2026-03-10 00:33:13
276,561659,Elderflame Operator,Select,875,BR,Valorant Points Card,2026-04-11 11:42:25
277,123973,Oni Katana,Select,875,EU,Valorant Points Card,2026-04-29 03:03:39
278,972224,Elderflame Operator,Ultra,2475,BR,PayPal,2026-02-04 14:37:38
279,753875,RGX Blade,Select,875,AP,Valorant Points Card,2026-03-14 08:39:56
280,273674,Oni Katana,Deluxe,1275,AP,Credit Card,2026-03-02 19:11:40
281,259274,Oni Katana,Ultra,4350,BR,Valorant Points Card,2026-01-09 14:24:51
282,825265,RGX Blade,Premium,1775,AP,PayPal,2026-03-28 08:04:26
283,895110,Reaver Vandal,Select,875,LAN,Valorant Points Card,2026-03-22 12:27:35
284,393065,RGX Blade,Deluxe,1275,EU,Credit Card,2026-03-23 08:05:36
285,486595,Ion Sheriff,Premium,1775,LAN,Valorant Points Card,2026-04-30 05:31:07
286,958337,Ion Sheriff,Premium,1775,LAN,Valorant Points Card,2026-03-22 08:19:12
287,754785,Prime Phantom,Select,875,EU,PayPal,2026-05-03 03:51:35
288,393799,Reaver Vandal,Select,875,EU,Credit Card,2026-03-03 08:23:49
289,577545,Glitchpop Phantom,Ultra,2475,EU,Credit Card,2026-01-05 11:09:01
290,175602,Prime Phantom,Premium,1775,LAS,PayPal,2026-02-03 09:34:26
291,490305,Prime Phantom,Deluxe,1275,EU,PayPal,2026-04-23 16:18:13
292,989814,Glitchpop Phantom,Select,875,AP,Valorant Points Card,2026-04-04 17:27:17
293,362908,RGX Blade,Deluxe,1275,BR,Credit Card,2026-04-26 12:20:26
294,735084,Reaver Vandal,Deluxe,1275,LAN,Valorant Points Card,2026-02-10 07:11:26
295,202981,Ion Sheriff,Select,875,LAN,Credit Card,2026-03-23 20:42:02
296,927759,RGX Blade,Select,875,LAS,Credit Card,2026-02-02 17:48:29
297,243800,RGX Blade,Select,875,AP,Credit Card,2026-01-02 03:55:32
298,935382,Glitchpop Phantom,Deluxe,1275,NA,Credit Card,2026-03-09 09:16:23
299,490471,Reaver Vandal,Ultra,4350,EU,PayPal,2026-02-25 02:08:49
300,403385,Oni Katana,Premium,1775,BR,PayPal,2026-04-01 01:22:24
301,467273,Reaver Vandal,Premium,1775,NA,PayPal,2026-04-16 20:14:33
302,614521,Glitchpop Phantom,Select,875,NA,PayPal,2026-04-18 10:36:00
303,627051,Prelude to Chaos Vandal,Deluxe,1275,LAN,Credit Card,2026-03-11 00:07:40
304,442275,Oni Katana,Select,875,BR,PayPal,2026-05-03 23:36:40
305,333715,Oni Katana,Select,875,LAN,Valorant Points Card,2026-04-27 01:59:39
306,438327,Reaver Vandal,Select,875,AP,Valorant Points Card,2026-03-27 08:31:54
307,429326,Prelude to Chaos Vandal,Select,875,LAS,PayPal,2026-02-05 20:08:39
308,363532,Reaver Vandal,Select,875,AP,Credit Card,2026-01-03 07:18:38
309,623555,Reaver Vandal,Deluxe,1275,LAN,PayPal,2026-01-09 06:03:57
310,350730,Reaver Vandal,Select,875,LAS,PayPal,2026-01-06 14:27:17
311,398857,Glitchpop Phantom,Deluxe,1275,LAS,PayPal,2026-01-10 06:39:24
312,861024,Oni Katana,Select,875,BR,Credit Card,2026-02-12 00:53:07
313,958950,RGX Blade,Premium,1775,LAS,Credit Card,2026-03-02 20:48:21
314,625603,Oni Katana,Select,875,EU,PayPal,2026-01-08 04:55:30
